User_ID,Age,Gender,Income_Level,Browsing_Time (mins),Discount (%),Coupon_Category,Previous_Purchases,Purchase_Intention
U1000,51,Female,Medium,20,60,Clothing,1,1
U1001,41,Female,High,1,60,Food,9,1
U1002,22,Female,Medium,5,30,Health,3,0
U1003,31,Male,Medium,17,10,Food,6,1
U1004,41,Male,Low,19,70,Health,3,1
U1005,22,Female,High,18,20,Electronics,2,1
U1006,22,Male,Low,22,20,Travel,6,1
U1007,45,Male,High,8,70,Clothing,0,1
U1008,19,Female,Medium,8,30,Food,4,0
U1009,36,Male,High,24,60,Food,1,1
U1010,58,Male,High,24,30,Electronics,5,1
U1011,20,Male,High,8,20,Health,6,1
U1012,26,Male,Medium,9,80,Clothing,6,1
U1013,60,Female,High,17,50,Health,10,1
U1014,35,Female,Low,28,20,Clothing,7,1
U1015,41,Female,Low,17,20,Entertainment,6,1
U1016,46,Female,Low,17,20,Clothing,9,1
U1017,52,Male,Medium,19,40,Entertainment,5,1
U1018,23,Male,Medium,28,20,Health,7,1
U1019,35,Female,High,5,40,Entertainment,9,1
U1020,40,Female,Low,7,20,Health,8,1
U1021,42,Female,Low,17,10,Food,8,1
U1022,27,Male,Medium,7,70,Health,10,1
U1023,43,Male,Low,24,50,Food,3,1
U1024,54,Male,Medium,19,50,Clothing,5,1
U1025,21,Male,High,18,80,Clothing,9,1
U1026,28,Male,High,3,60,Travel,8,1
U1027,45,Male,Low,2,60,Travel,3,1
U1028,31,Female,Low,5,40,Electronics,5,0
U1029,50,Female,Low,28,20,Travel,6,1
U1030,42,Male,Medium,10,10,Entertainment,1,0
U1031,22,Male,Low,1,40,Health,6,1
U1032,30,Female,Low,13,40,Electronics,6,1
U1033,51,Male,High,28,40,Food,5,1
U1034,21,Male,Medium,4,50,Electronics,5,1
U1035,45,Male,Medium,18,40,Health,8,1
U1036,25,Female,High,12,50,Clothing,7,1
U1037,47,Female,Medium,19,30,Health,9,1
U1038,28,Female,Medium,13,60,Travel,8,1
U1039,33,Female,Low,13,70,Health,3,1
U1040,47,Male,Low,17,80,Clothing,10,1
U1041,34,Male,High,1,40,Clothing,7,1
U1042,32,Female,Medium,11,40,Electronics,5,0
U1043,51,Female,High,16,50,Health,7,1
U1044,27,Female,Medium,22,30,Electronics,10,1
U1045,51,Male,Low,2,40,Food,2,0
U1046,51,Male,Low,22,40,Electronics,8,1
U1047,43,Female,Low,11,40,Clothing,10,1
U1048,55,Male,High,19,30,Travel,6,1
U1049,22,Male,Medium,6,50,Food,2,1
U1050,42,Female,High,17,10,Food,4,1
U1051,40,Female,High,24,80,Electronics,4,1
U1052,47,Male,Low,28,40,Health,1,1
U1053,43,Female,High,2,80,Electronics,5,1
U1054,38,Male,High,11,60,Entertainment,6,1
U1055,33,Female,Medium,14,30,Travel,6,1
U1056,18,Female,Medium,24,40,Electronics,2,1
U1057,20,Male,Low,28,40,Electronics,6,1
U1058,29,Male,Medium,19,20,Food,2,1
U1059,47,Male,Medium,5,70,Electronics,0,1
U1060,29,Male,Low,10,80,Electronics,6,1
U1061,18,Male,High,28,60,Electronics,0,1
U1062,54,Male,High,20,60,Health,8,1
U1063,58,Male,Medium,7,70,Health,7,1
U1064,53,Female,High,21,70,Clothing,9,1
U1065,35,Female,Low,11,70,Travel,0,1
U1066,51,Male,Low,22,50,Health,5,1
U1067,49,Male,Medium,4,50,Electronics,2,1
U1068,24,Female,Low,5,50,Food,0,1
U1069,56,Female,High,25,10,Food,8,1
U1070,55,Male,Low,5,20,Health,3,0
U1071,23,Female,Low,18,40,Travel,9,1
U1072,24,Female,High,22,40,Electronics,7,1
U1073,28,Female,Medium,22,20,Electronics,3,1
U1074,19,Female,Medium,2,60,Clothing,10,1
U1075,23,Female,High,10,40,Food,10,1
U1076,29,Female,Medium,15,40,Entertainment,6,1
U1077,29,Male,Low,2,40,Electronics,10,1
U1078,21,Female,Medium,1,10,Travel,3,0
U1079,28,Female,Medium,29,70,Electronics,10,1
U1080,44,Female,High,23,30,Electronics,0,1
U1081,57,Male,Medium,13,50,Entertainment,4,1
U1082,60,Female,Low,15,30,Entertainment,0,0
U1083,59,Female,Medium,14,10,Electronics,9,1
U1084,59,Male,Low,17,80,Food,8,1
U1085,47,Female,Medium,12,70,Food,10,1
U1086,57,Male,Low,25,60,Clothing,6,1
U1087,52,Female,Medium,5,70,Health,10,1
